KOR_1,KOR_18,KOR_2,KOR_3,KOR_4,KOR_5,KOR_6,KOR_7,KOR_8,KOR_9,CPI_China,CPI_Euro,CPI_G20,CPI_G7,CPI_OECD,China_exports,China_imports,China_trade_balance,Euro_Composite_business_confidence,Euro_Composite_consumer_confidence,G20_Composite_business_confidence,G20_Composite_consumer_confidence,G20_Composite_leading_indicator,G20_exports,G20_imports,G20_trade_balance,G7_Composite_business_confidence,G7_Composite_consumer_confidence,G7_Composite_leading_indicator,G7_exports,G7_imports,G7_trade_balance,OECD_Composite_business_confidence,OECD_Composite_consumer_confidence,OECD_exports,OECD_imports,OECD_trade_balance,WGS10YR,WTB1YR,WTB6MS,WCURRNS,WDDNS,MORTGAGE30US,FF,WPCREDIT,WPRIME,CURRCIR,EXPINF1YR,EXPINF2YR,EXPINF30YR,IRLTLT01USM156N,LNU02000000,LNU02300000,REAINTRATREARAT10Y,REAINTRATREARAT1YE,UNRATENSA,DEXKOUS,DJIA,NASDAQCOM,KOR_10,KOR_11,KOR_12,KOR_13,KOR_14,KOR_15,KOR_16,KOR_17
178629.7935,22.18096774,20384.09032,771427.1419,24.13419355,22.67774194,23.85645161,21.92806452,22.02651613,22.02651613,23.32580645,23.02548387,23.57473548,23.15697097,23.34576774,43.13221613,33.92069032,9.211532581,22.97998387,22.89176129,22.64935806,22.77994194,22.68180645,257.6036129,261.5545484,-3.950982903,22.83887742,22.80970323,22.66952258,105.3062387,120.1704677,-14.8642471,22.78445806,22.77129355,196.5769129,209.2719323,-12.69502613,2.27,1.07,1.00,1472.8,1394.5,4.02,0.91,1.50,4.00,349.5851935,0.353343358,0.366775026,0.492091306,0.519354839,34640.29032,13.59354839,0.175318116,-0.091682929,0.925806452,1118.912,20807.296,6093.922,2290.872,641.014,1.352,1.394,1.693,1.9114,1.4556,1.25
178629.7935,22.18096774,20384.09032,771427.1419,24.13419355,22.67774194,23.85645161,21.92806452,22.02651613,22.02651613,23.32580645,23.02548387,23.57473548,23.15697097,23.34576774,43.13221613,33.92069032,9.211532581,22.97998387,22.89176129,22.64935806,22.77994194,22.68180645,257.6036129,261.5545484,-3.950982903,22.83887742,22.80970323,22.66952258,105.3062387,120.1704677,-14.8642471,22.78445806,22.77129355,196.5769129,209.2719323,-12.69502613,2.26,1.12,1.05,1473.5,1487.0,3.95,0.91,1.50,4.00,349.5851935,0.353343358,0.366775026,0.492091306,0.519354839,34640.29032,13.59354839,0.175318116,-0.091682929,0.925806452,1120.188,21001.678,6170.16,2326.268,644.484,1.35,1.382,1.682,1.898,1.4596,1.25
183074.3191,22.5527957,20766.55871,789323.7523,24.55922581,22.94836559,24.32286022,22.95107527,22.41833548,22.41833548,23.74344086,23.47739785,24.03861806,23.60606946,23.79474237,44.69735548,35.04921204,9.648141011,23.43880452,23.34752817,23.10000108,23.21748559,23.12484086,265.0600817,264.8896065,0.170558946,23.29113032,23.2402271,23.10737634,108.6459118,122.265309,-13.61939561,23.23828774,23.20829914,202.4026484,212.2880643,-9.885424151,2.20,1.13,1.05,1476.8,1583.7,3.94,0.90,1.50,4.00,357.1835591,0.279257908,0.32850079,0.494499248,0.514580645,35390.63871,13.87913978,0.173284522,0.051949343,0.996774194,1120.1975,21097.1475,6238.585,2352.072,651.338,1.35,1.38,1.6532,1.8692,1.4582,1.25
186407.7133,22.83166667,21053.41,802746.21,24.878,23.15133333,24.67266667,23.71833333,22.7122,22.7122,24.05666667,23.81633333,24.38653,23.94289333,24.13147333,45.87121,35.89560333,9.975597333,23.78292,23.68935333,23.43798333,23.54564333,23.45711667,270.6524333,267.3909,3.261715333,23.63032,23.56312,23.43576667,111.1506667,123.83644,-12.685757,23.57866,23.53605333,206.77195,214.5501633,-7.778222667,2.18,1.15,1.07,1478.4,1452.4,3.89,0.91,1.50,4.00,362.8823333,0.22369382,0.299795113,0.496305203,0.511,35953.4,14.09333333,0.171759327,0.159673547,1.05,1121.474,21189.692,6279.56,2368.505,668.225,1.35,1.38,1.62825,1.83975,1.45025,1.25
186407.7133,22.83166667,21053.41,802746.21,24.878,23.15133333,24.67266667,23.71833333,22.7122,22.7122,24.05666667,23.81633333,24.38653,23.94289333,24.13147333,45.87121,35.89560333,9.975597333,23.78292,23.68935333,23.43798333,23.54564333,23.45711667,270.6524333,267.3909,3.261715333,23.63032,23.56312,23.43576667,111.1506667,123.83644,-12.685757,23.57866,23.53605333,206.77195,214.5501633,-7.778222667,2.18,1.17,1.10,1478.9,1357.2,3.91,0.91,1.50,4.00,362.8823333,0.22369382,0.299795113,0.496305203,0.511,35953.4,14.09333333,0.171759327,0.159673547,1.05,1127.58,21336.576,6181.596,2365.738,669.24,1.358,1.38,1.6832,1.874,1.4642,1.25
186407.7133,22.83166667,21053.41,802746.21,24.878,23.15133333,24.67266667,23.71833333,22.7122,22.7122,24.05666667,23.81633333,24.38653,23.94289333,24.13147333,45.87121,35.89560333,9.975597333,23.78292,23.68935333,23.43798333,23.54564333,23.45711667,270.6524333,267.3909,3.261715333,23.63032,23.56312,23.43576667,111.1506667,123.83644,-12.685757,23.57866,23.53605333,206.77195,214.5501633,-7.778222667,2.16,1.19,1.10,1479.8,1432.7,3.90,1.16,1.75,4.25,362.8823333,0.22369382,0.299795113,0.496305203,0.511,35953.4,14.09333333,0.171759327,0.159673547,1.05,1139.006,21439.642,6232.586,2369.326,668.566,1.364,1.38,1.6898,1.8576,1.4636,1.25
185074.3925,22.62575269,20890.86613,796265.221,24.72612903,22.97021505,24.5988172,23.41263441,22.51325806,22.51325806,23.82849462,23.5677957,24.16863387,23.71946667,23.90852796,45.25555,35.11560699,10.13993376,23.57270968,23.47837957,23.23224247,23.33353602,23.24622527,264.7752957,263.2997581,1.475675376,23.42032258,23.34603226,23.22294946,108.8186043,121.8064839,-12.98786145,23.3698871,23.32116344,201.8873016,211.0029747,-9.11567914,2.23,1.19,1.11,1480.5,1583.9,3.88,1.16,1.75,4.25,360.0140538,0.270243203,0.323837238,0.495121904,0.514677419,35646.80645,13.96989247,0.169460466,0.085363308,1.046774194,1139.996,21362.296,6182.59,2390.124,668.784,1.376,1.38,1.6952,1.8832,1.4694,1.25
181741.0903,22.11096774,20484.50645,780062.7484,24.34645161,22.51741935,24.41419355,22.6483871,22.01590323,22.01590323,23.25806452,22.94645161,23.62389355,23.1609,23.35116452,43.7164,33.16561613,10.55077484,23.04718387,22.95094516,22.71789032,22.80326774,22.71899677,250.0824516,253.0719032,-2.989424516,22.89532903,22.8033129,22.69090645,102.9884484,116.7315935,-13.74312258,22.84795484,22.78393871,189.6756806,202.1350032,-12.45932032,2.36,1.20,1.12,1483.9,1638.8,3.96,1.12,1.75,4.25,352.8433548,0.386616661,0.383942548,0.492163655,0.523870968,34880.32258,13.66129032,0.163713313,-0.10041229,1.038709677,1153.18,21422.955,6125.865,2386.206,661.252,1.378,1.384,1.7464,1.9596,1.471,1.25
181741.0903,22.11096774,20484.50645,780062.7484,24.34645161,22.51741935,24.41419355,22.6483871,22.01590323,22.01590323,23.25806452,22.94645161,23.62389355,23.1609,23.35116452,43.7164,33.16561613,10.55077484,23.04718387,22.95094516,22.71789032,22.80326774,22.71899677,250.0824516,253.0719032,-2.989424516,22.89532903,22.8033129,22.69090645,102.9884484,116.7315935,-13.74312258,22.84795484,22.78393871,189.6756806,202.1350032,-12.45932032,2.35,1.18,1.11,1486.5,1391.1,4.03,1.16,1.75,4.25,352.8433548,0.386616661,0.383942548,0.492163655,0.523870968,34880.32258,13.66129032,0.163713313,-0.10041229,1.038709677,1140.502,21508.112,6243.554,2398.798,654.354,1.37,1.39,1.755,1.9538,1.4616,1.25
181741.0903,22.11096774,20484.50645,780062.7484,24.34645161,22.51741935,24.41419355,22.6483871,22.01590323,22.01590323,23.25806452,22.94645161,23.62389355,23.1609,23.35116452,43.7164,33.16561613,10.55077484,23.04718387,22.95094516,22.71789032,22.80326774,22.71899677,250.0824516,253.0719032,-2.989424516,22.89532903,22.8033129,22.69090645,102.9884484,116.7315935,-13.74312258,22.84795484,22.78393871,189.6756806,202.1350032,-12.45932032,2.27,1.18,1.09,1484.8,1391.7,3.96,1.16,1.75,4.25,352.8433548,0.386616661,0.383942548,0.492163655,0.523870968,34880.32258,13.66129032,0.163713313,-0.10041229,1.038709677,1122.518,21607.41,6364.306,2434.596,669.71,1.37,1.39,1.7416,1.9404,1.4512,1.25
